cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
万盛经开区,1,1,0,0,0
江津区,0,4,0,4,0
梁平区,0,4,0,4,0
黔江区,0,2,0,2,0
城口县,0,2,0,2,0
武隆区,0,1,0,1,0
秀山县,0,1,0,1,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
海淀区,62,62,0,0,0
朝阳区,61,61,0,0,0
西城区,53,53,0,0,0
丰台区,38,41,0,3,0
大兴区,37,39,0,2,0
昌平区,29,29,0,0,0
外地来京人员,23,25,0,2,0
通州区,18,19,0,1,0
房山区,13,16,0,3,0
石景山区,13,14,0,1,0
东城区,12,13,0,1,0
顺义区,10,10,0,0,0
怀柔区,7,7,0,0,0
密云区,7,7,0,0,0
门头沟区,1,3,0,2,0
延庆区,1,1,0,0,0
待明确地区,-204,0,0,200,4
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
南京,36,93,0,57,0
苏州,30,87,0,57,0
连云港,23,48,0,25,0
淮安,20,66,0,46,0
无锡,14,55,0,41,0
徐州,12,79,0,67,0
常州,10,51,0,41,0
泰州,9,37,0,28,0
南通,6,40,0,34,0
扬州,6,23,0,17,0
盐城,3,27,0,24,0
宿迁,2,13,0,11,0
镇江,2,12,0,10,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
北海,22,44,0,21,1
河池,22,28,0,5,1
南宁,21,55,0,34,0
柳州,12,24,0,12,0
防城港,11,19,0,8,0
来宾,11,11,0,0,0
桂林,9,32,0,23,0
玉林,5,11,0,6,0
贵港,4,8,0,4,0
贺州,2,4,0,2,0
钦州,1,8,0,7,0
百色,1,3,0,2,0
梧州,0,5,0,5,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
莆田,25,55,0,30,0
泉州,25,46,0,21,0
福州,14,71,0,56,1
厦门,12,35,0,23,0
南平,10,20,0,10,0
三明,9,14,0,5,0
宁德,6,26,0,20,0
漳州,6,20,0,14,0
龙岩,2,6,0,4,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
外地来沪人员,24,111,0,86,1
浦东新区,11,60,0,49,0
宝山区,9,21,0,12,0
静安区,4,16,0,12,0
徐汇区,3,18,0,15,0
