city,case,cure,death,lat,lon
Suzhou,3,0,0,31.332306,120.630878
Lianyungang,1,0,0,34.51416,119.162196
Wuxi,1,0,0,31.466579,120.248502
Nantong,1,0,0,32.071256,120.823875
Yangzhou,1,0,0,32.408505,119.427778
Yancheng,1,0,0,33.265898,119.968501
Suqian,1,0,0,34.00953,118.343693
Shenyang,5,0,0,41.843551,123.242847
Dalian,4,0,0,38.92,121.62
Chaoyang,2,0,0,43.689109,125.278226
Tieling,2,0,0,42.222765,123.914529
Huludao,2,0,0,41.137036,120.664645
Benxi,1,0,0,41.19567,124.158564
Yingkou,1,0,0,40.672565,122.330903
Xi An,4,0,0,34.066899,108.874256
Xianyang,3,0,0,34.423853,108.817312
Ankang,3,0,0,32.814464,108.896243
Tongchuan,3,0,0,35.032,108.8355
Yan An,1,0,0,36.575992,109.648602
Shangluo,1,0,0,33.895485,109.873271
Kunming,4,0,0,26.139329,103.078562
Lijiang,2,0,0,26.8593,100.328596
Xishuangbanna,1,0,0,22.009433,100.803038
Qujing,1,0,0,25.360057,103.913326
Yuxi,1,0,0,24.369854,102.499895
Honghe,1,0,0,23.250955,102.243348
Dali,1,0,0,25.693967,100.219209
Tianjin,10,0,0,39.13,117.2
Harbin,6,0,0,45.995674,126.61077
Mudanjiang,1,0,0,44.491714,129.584924
Daqing,1,0,0,46.070051,124.699077
Suihua,1,0,1,46.747537,126.957863
Jinzhong,2,0,0,37.650825,112.843737
Taiyuan,2,0,0,37.748675,112.481587
Yuncheng,2,0,0,35.063677,110.961931
Yangquan,1,0,0,37.911504,113.568086
Datong,1,0,0,40,113.3
Changzhi,1,0,0,36.02468,113.086194
Shijiazhuang,4,0,0,38.014621,114.586383
Cangzhou,2,0,1,38.314446,116.844854
Baoding,1,0,0,38.821877,115.484784
Chengde,1,0,0,40.973242,118.125718
Xilingol,2,0,0,43.468238,114.415868
Ordos,2,0,0,39.805586,109.764419
Manzhouli,1,0,0,49.500032,117.603687
Chifeng,1,0,0,42.268753,118.757106
Hulun Buir,1,0,0,49.329996,121.512668
Hong Kong,5,0,0,22.293586,114.186124
Tongren,2,0,0,27.674903,109.168558
Guiyang,1,0,0,26.496945,106.70098
Qiannan,1,0,0,26.254,107.522
Qianxinan,1,0,0,25.1,104.9
Jilin,2,0,0,43.87,126.57
Changchun,1,0,0,43.531747,125.712822
Songyuan,1,0,0,45.29271,124.867571
Lanzhou,2,0,0,36.303488,103.060275
Baiyin,1,0,0,36.69035,104.945609
