,city_cn,province_cn,city,province,lat,lon,case,death,cure,remain
76,绍兴,中国浙江,Shaoxing,Zhejiang China,29.968789,120.572451,42,0,41,1
77,舟山,中国浙江,Zhoushan,Zhejiang China,29.871101,122.278765,10,0,10,0
78,金华,中国浙江,Jinhua,Zhejiang China,29.155526,119.809227,55,0,55,0
79,衢州,中国浙江,Quzhou,Zhejiang China,28.941983,118.939044,14,0,14,0
80,丽水,中国浙江,Lishui,Zhejiang China,28.48,119.921,25,0,18,7
81,湖州,中国浙江,Huzhou,Zhejiang China,30.89,120.1,12,0,10,2
82,万州,中国重庆,Wanzhou,Chongqing China,30.710054,108.413439,118,4,111,3
83,长寿,中国重庆,Changshou,Chongqing China,29.960491,107.146615,22,0,18,4
84,开州,中国重庆,Kaizhou,Chongqing China,31.2,108.4,21,1,20,0
85,永川,中国重庆,Yongchuan,Chongqing China,29.296488,105.880358,5,0,5,0
86,忠县,中国重庆,Zhongxian,Chongqing China,30.342003,107.921738,21,0,21,0
87,巫山,中国重庆,Wushan,Chongqing China,31.121152,109.908611,10,0,10,0
88,石柱,中国重庆,Shizhu,Chongqing China,29.9,108,15,0,15,0
89,重庆市区,中国重庆,Chongqing,Chongqing China,29.59,106.54,363,3,360,0
90,渝北,中国重庆,Yubei,Chongqing China,29.816264,106.753799,17,0,17,0
91,垫江,中国重庆,Dianjiang,Chongqing China,30.259498,107.444445,20,0,20,0
92,云阳,中国重庆,Yunyang,Chongqing China,31.042409,108.863186,25,0,25,0
93,无锡,中国重庆,Wuxi,Chongqing China,31.509161,109.360531,55,0,54,1
94,合川,中国重庆,Hechuan,Chongqing China,30.118708,106.318029,23,0,23,0
95,璧山,中国重庆,Bishan,Chongqing China,29.5,106.17,9,0,9,0
96,涪陵,中国重庆,Fuling,Chongqing China,29.664671,107.3408,5,0,5,0
97,奉节,中国重庆,Fengjie,Chongqing China,30.958553,109.355667,22,0,22,0
98,秀山,中国重庆,Xiushan,Chongqing China,28.38,109.06,1,0,1,0
99,梁平,中国重庆,Liangping,Chongqing China,30.65,107.8,4,0,4,0
100,城口,中国重庆,Chengkou,Chongqing China,31.888131,108.741855,2,0,2,0
101,大足,中国重庆,Dazu,Chongqing China,29.714,105.72,14,0,13,1
102,丰都,中国重庆,Fengdu,Chongqing China,29.890596,107.837517,10,0,8,2
103,黔江,中国重庆,Qianjiang,Chongqing China,29.53,108.76,2,0,2,0
104,万盛,中国重庆,Wansheng,Chongqing China,28.962248,106.924888,1,0,1,0
105,潼南,中国重庆,Tongnan,Chongqing China,30.19,105.84,18,0,15,3
106,铜梁,中国重庆,Tongliang,Chongqing China,29.85,106.05,10,0,9,1
107,綦江,中国重庆,Qijiang,Chongqing China,29.03,106.64,23,0,20,3
108,江津,中国重庆,Jiangjin,Chongqing China,29.28,106.26,4,0,4,0
109,巴南,中国重庆,Banan,Chongqing China,29.37,106.52,6,0,5,1
110,武隆,中国重庆,Wulong,Chongqing China,29.33,107.75,1,0,1,0
111,酉阳,中国重庆,Youyang,Chongqing China,28.844414,108.763426,1,0,1,0
112,荣昌,中国重庆,Rongchang,Chongqing China,29.422,105.61,9,0,8,1
113,彭水,中国重庆,Pengshui,Chongqing China,29.293585,108.165373,2,0,2,0
114,北京市区,中国北京,Beijing,Beijing China,39.92,116.46,852,0,21,831
115,昌平,中国北京,Changping,Beijing China,40.221724,116.216456,29,0,10,19
116,通州,中国北京,Tongzhou,Beijing China,32.081032,121.028859,19,0,1,18
117,大兴,中国北京,Daxing,Beijing China,39.73,116.33,39,0,16,23
118,顺义,中国北京,Shunyi,Beijing China,40.154951,116.728229,10,0,0,10
119,门头沟,中国北京,Mentougou,Beijing China,39.94,116.1,3,0,2,1
120,房山,中国北京,Fangshan,Beijing China,39.744,116.134254,16,0,3,13
121,延庆,中国北京,Yanqing,Beijing China,40.4565,115.971,1,0,0,1
122,密云,中国北京,Miyun,Beijing China,40.375043,116.83548,7,0,0,7
123,怀柔,中国北京,Huairou,Beijing China,40.315,116.626,7,0,0,7
124,上海,中国上海,Shanghai,Shanghai China,31.2,121.560642,352,3,324,25
125,临沂,中国山东,Linyi,Shandong China,35.127031,118.517311,49,0,49,0
126,青岛,中国山东,Tsingtao,Shandong China,36.284247,120.346326,61,1,59,1
127,威海,中国山东,Weihai,Shandong China,37.399344,122.152075,38,1,37,0
128,日照,中国山东,Rizhao,Shandong China,35.469377,119.377852,16,0,16,0
129,济宁,中国山东,Jining,Shandong China,35.380135,116.572199,260,0,254,6
130,济南,中国山东,Jinan,Shandong China,36.42857,116.803552,47,0,46,1
131,德州,中国山东,Dezhou,Shandong China,37.457437,116.332912,37,2,33,2
132,潍坊,中国山东,Weifang,Shandong China,36.691227,119.196972,44,0,44,0
133,烟台,中国山东,Yantai,Shandong China,37.407476,121.451535,47,0,47,0
134,聊城,中国山东,Liaocheng,Shandong China,36.45583,115.907706,38,0,38,0
135,滨州,中国山东,Binzhou,Shandong China,37.424891,117.981211,15,0,15,0
136,菏泽,中国山东,Heze,Shandong China,35.26244,115.46336,18,0,18,0
137,淄博,中国山东,Zibo,Shandong China,36.771219,117.875108,30,1,28,1
138,枣庄,中国山东,Zaozhuang,Shandong China,34.82,117.31,24,0,24,0
