,city_cn,province_cn,city,province,lat,lon,case,death,cure,remain
330,天水,中国甘肃,Tianshui,Gansu China,34.58,105.73,12,0,12,0
331,平凉,中国甘肃,Pingliang,Gansu China,35.53,106.67,9,0,9,0
332,甘南,中国甘肃,Gannan,Gansu China,34.981,102.91,8,0,8,0
333,庆阳,中国甘肃,Qingyang,Gansu China,35.7,107.65,3,0,3,0
334,银川,中国宁夏,Yinchuan,Ningxia China,38.478591,106.24265,36,0,35,1
335,中卫,中国宁夏,Zhongwei,Ningxia China,37.360639,105.111278,4,0,3,1
336,固原,中国宁夏,Guyuan,Ningxia China,36.206829,106.254011,5,0,5,0
337,吴忠,中国宁夏,Wuzhong,Ningxia China,37.97,106.2,28,0,28,0
338,宁东,中国宁夏,Ningdong Energy Chemical Industry Base Admin Committee,Ningxia China,38.4,106.31,1,0,1,0
339,石嘴山,中国宁夏,Shizuishan,Ningxia China,38.991988,106.37,1,0,1,0
340,地区,中国 台湾,Taiwan,ROC,23.5,121,53,1,20,32
341,乌鲁木齐,中国新疆,Urumqi,Xinjiang China,43.419108,87.360244,23,0,23,0
342,伊犁,中国新疆,Ili,Xinjiang China,43.9,81.32,18,0,18,0
343,吐鲁番,中国新疆,Turpan,Xinjiang China,42.95,89.15,3,0,3,0
344,第八师石河子,中国新疆,Shihezi (The 8th Division),Xinjiang China,44.26,86.05,4,1,3,0
345,阿克苏,中国新疆,Aksu,Xinjiang China,41.133,80.192,1,0,1,0
346,第九师额敏县,中国新疆,Emin (The 9th Division),Xinjiang China,46.521076,83.620741,4,1,3,0
347,第四师科克达拉,中国新疆,Cocodala (The 4th Division),Xinjiang China,43.9448,81.044,10,1,9,0
348,昌吉,中国新疆,Changji,Xinjiang China,44,87.275,4,0,4,0
349,第六师五家渠,中国新疆,Wujiaqu (The 6th Division),Xinjiang China,44.159797,87.538838,2,0,2,0
350,第七师胡杨河,中国新疆,Huyanghe (The 7th Division),Xinjiang China,44.710398,84.8254,1,0,1,0
351,巴音郭楞,中国新疆,Bayingolin,Xinjiang China,41.771312,86.161609,3,0,3,0
352,第十二师,中国新疆,The 12th Division,Xinjiang China,43.6,87,3,0,3,0
353,澳门,中国澳门特别行政区,Macau,Macau SAR China,22.204118,113.557519,10,0,10,0
354,西宁,中国青海,Xining,Qinghai China,36.686368,101.712664,15,0,15,0
355,海北州,中国青海,Haibei,Qinghai China,36.899,100.997,3,0,3,0
356,成都,中国四川,Chengdu,Sichuan China,30.67,104.06,144,3,121,20
357,绵阳,中国四川,Mianyang,Sichuan China,31.46,104.73,22,0,22,0
358,广安,中国四川,Guang An,Sichuan China,30.3,106,30,0,30,0
359,遂宁,中国四川,Suining,Sichuan China,30.501934,105.569333,17,0,17,0
360,泸州,中国四川,Luzhou,Sichuan China,27.88,106.27,24,0,24,0
361,南充,中国四川,Nanchong,Sichuan China,30.84,106.12,39,0,39,0
362,甘孜,中国四川,Ganzi,Sichuan China,31.62,99.99,78,0,71,7
363,德阳,中国四川,Deyang,Sichuan China,31.33,104.23,18,0,18,0
364,雅安,中国四川,Ya An,Sichuan China,30,103,7,0,7,0
365,达州,中国四川,Dazhou,Sichuan China,31.2,107.5,42,0,42,0
366,自贡,中国四川,Zigong,Sichuan China,29.34,104.78,9,0,9,0
367,内江,中国四川,Neijiang,Sichuan China,29.6,105,22,0,22,0
368,乐山,中国四川,Leshan,Sichuan China,29.2,103.63,3,0,3,0
369,眉山,中国四川,Meishan,Sichuan China,29.9,103.5,8,0,8,0
370,宜宾,中国四川,Yibin,Sichuan China,28.76,104.63,12,0,12,0
371,凉山,中国四川,Liangshan,Sichuan China,27.88,102.28,13,0,13,0
372,资阳,中国四川,Ziyang,Sichuan China,30.1,104.67,4,0,4,0
373,广元,中国四川,Guangyuan,Sichuan China,30.46,106.64,6,0,6,0
374,阿坝,中国四川,Aba,Sichuan China,32.9,101.71,1,0,1,0
375,巴中,中国四川,Bazhong,Sichuan China,31.86,106.75,24,0,21,3
376,攀枝花,中国四川,Panzhihua,Sichuan China,26.578,101.721,16,0,16,0
377,拉萨,中国西藏,Lhasa,Tibet China,29.65,91.577,1,0,1,0
378,,阿富汗,,Afghanistan,33,65,7,0,0,7
379,,阿尔巴尼亚,,Albania,41.1533,20.1683,33,1,0,32
380,,阿尔及利亚,,Algeria,28.0339,1.6596,26,2,8,16
381,,安道尔,,Andorra,42.5063,1.5218,1,0,0,1
382,,安提瓜和巴布达,,Antigua and Barbuda,17.0608,-61.7964,1,0,0,1
383,,阿根廷,,Argentina,-38.4161,-63.6167,31,2,0,29
384,,亚美尼亚,,Armenia,40.0691,45.0382,8,0,0,8
385,阿鲁巴,荷兰,Aruba,Netherlands,12.5211,-69.9683,2,0,0,2
386,塔斯马尼亚,澳大利亚,Tasmania,Australia,-41.4545,145.9707,5,0,0,5
387,新南威尔士州,澳大利亚,New South Wales,Australia,-33.8688,151.2093,92,2,4,86
388,维多利亚州,澳大利亚,Victoria,Australia,-37.8136,144.9631,36,0,8,28
389,昆士兰州,澳大利亚,Queensland,Australia,-28.0167,153.4,35,0,8,27
390,南澳大利亚州,澳大利亚,South Australia,Australia,-34.9285,138.6007,16,0,3,13
391,堪培拉,澳大利亚,Australian Capital Territory,Australia,-35.4735,149.0124,1,0,0,1
392,钻石公主号撤离,澳大利亚,From Diamond Princess,Australia,35.4437,139.638,0,0,0,0
393,西澳大利亚州,澳大利亚,Western Australia,Australia,-31.9505,115.8605,14,1,0,13
394,北部地区,澳大利亚,Northern Territory,Australia,-12.4634,130.8456,1,0,0,1
395,,奥地利,,Austria,47.5162,14.5501,504,1,6,497
396,,阿塞拜疆,,Azerbaijan,40.1431,47.5769,15,1,3,11
397,,巴林,,Bahrain,26.0667,50.5577,189,0,44,145
398,,孟加拉国,,Bangladesh,23.685,90.3563,3,0,0,3
399,,白俄罗斯,,Belarus,53.7098,27.9534,27,0,3,24
400,,比利时,,Belgium,50.5039,4.4699,559,3,1,555
401,,不丹,,Bhutan,27.5142,90.4336,1,0,0,1
402,,玻利维亚,,Bolivia,-16.2902,-63.5887,3,0,0,3
403,,波黑,,Bosnia and Herzegovina,43.9159,17.6791,13,0,0,13
404,,巴西,,Brazil,-14.235,-51.9253,151,0,0,151
405,,文莱,,Brunei,4.5353,114.7277,37,0,0,37
406,,保加利亚,,Bulgaria,42.7339,25.4858,23,1,0,22
407,,布基纳法索,,Burkina Faso,12.2383,-1.5616,2,0,0,2
408,,柬埔寨,,Cambodia,12.5657,104.991,5,0,1,4
409,,喀麦隆,,Cameroon,3.848,11.5021,2,0,0,2
410,英属哥伦比亚,加拿大,British Columbia,Canada,53.7267,-127.6476,64,1,4,59
411,安大略,加拿大,Ontario,Canada,51.2538,-85.3232,74,0,4,70
412,新布朗士维克,加拿大,New Brunswick,Canada,46.5653,-66.4619,1,0,0,1
413,魁北克,加拿大,Quebec,Canada,52.9399,-73.5491,17,0,0,17
414,马尼托巴,加拿大,Manitoba,Canada,53.7609,-98.8139,4,0,0,4
415,萨斯卡彻万,加拿大,Saskatchewan,Canada,52.9399,-106.4509,2,0,0,2
416,至尊公主号撤离,加拿大,Grand Princess,Canada,37.6489,-122.6655,2,0,0,2
417,艾伯塔,加拿大,Alberta,Canada,53.9333,-116.5765,29,0,0,29
418,开曼群岛,英国,Cayman Islands,UK,19.3133,-81.2546,1,0,0,1
419,,智利,,Chile,-35.6751,-71.543,43,0,0,43
420,,哥伦比亚,,Colombia,4.5709,-74.2973,13,0,0,13
421,,刚果 (金),,Congo (Kinshasa),-4.0383,21.7587,2,0,0,2
422,,哥斯达黎加,,Costa Rica,9.7489,-83.7534,23,0,0,23
423,,科特迪瓦,,Cote d'Ivoire,7.54,-5.5471,1,0,0,1
424,,克罗地亚,,Croatia,45.1,15.2,32,0,1,31
425,钻石公主号撤离,钻石公主号,Diamond Princess,Cruise Ship,35.4498,139.6649,696,7,325,364
426,,古巴,,Cuba,21.5218,-77.7812,4,0,0,4
427,,塞浦路斯,,Cyprus,35.1264,33.4299,14,0,0,14
428,,捷克,,Czechia,49.8175,15.473,141,0,0,141
429,本土,丹麦,Denmark,Denmark,56.2639,9.5018,801,0,1,800
430,法罗群岛,丹麦,Faroe Islands,Denmark,61.8926,-6.9118,3,0,0,3
431,,多米尼加,,Dominican Republic,18.7357,-70.1627,5,0,0,5
432,,厄瓜多尔,,Ecuador,-1.8312,-78.1834,17,0,0,17
433,,埃及,,Egypt,26.8206,30.8025,80,2,27,51
434,,爱沙尼亚,,Estonia,58.5953,25.0136,79,0,0,79
435,,埃塞俄比亚,,Ethiopia,9.145,40.4897,1,0,0,1
436,,芬兰,,Finland,61.9241,25.7482,155,0,1,154
437,本土,法国,France,France,46.2276,2.2137,3661,79,12,3570
438,法属波利尼西亚,法国,French Polynesia,France,-17.6797,149.4068,3,0,0,3
439,圣巴瑟勒米,法国,Saint Barthelemy,France,17.9,-62.8333,1,0,0,1
440,圣马丁,法国,St Martin,France,18.0708,-63.0501,2,0,0,2
441,法属圭亚那,法国,,French Guiana,3.9339,-53.1258,5,0,0,5
442,,格鲁吉亚,,Georgia,42.3154,43.3569,25,0,0,25
443,,德国,,Germany,51.1657,10.4515,3675,7,46,3622
444,,希腊,,Greece,39.0742,21.8243,190,1,0,189
445,瓜达卢佩,法国,Guadeloupe,France,16.265,-61.551,1,0,0,1
446,,几内亚,,Guinea,9.9456,-9.6966,1,0,0,1
447,,圭亚那,,Guyana,5,-58.75,1,1,0,0
448,,梵蒂冈,,Vatican,41.9029,12.4534,1,0,0,1
449,,洪都拉斯,,Honduras,15.2,-86.2419,2,0,0,2
450,,匈牙利,,Hungary,47.1625,19.5033,19,0,0,19
451,,冰岛,,Iceland,64.9631,-19.0208,134,0,1,133
452,,印度,,India,20.5937,78.9629,82,2,4,76
453,,印尼,,Indonesia,-0.7893,113.9213,69,4,2,63
454,,伊朗,,Iran,32.4279,53.688,11364,514,2959,7891
455,,伊拉克,,Iraq,33.2232,43.6793,101,9,24,68
456,,爱尔兰,,Ireland,53.1424,-7.6921,90,1,0,89
457,,以色列,,Israel,31.0461,34.8516,161,0,4,157
458,,意大利,,Italy,41.8719,12.5674,17660,1266,1439,14955
459,,牙买加,,Jamaica,18.1096,-77.2975,8,0,0,8
460,,日本,,Japan,36.2048,138.2529,701,19,118,564
461,,约旦,,Jordan,31.24,36.51,1,0,1,0
462,,哈萨克斯坦,,Kazakhstan,48.0196,66.9237,4,0,0,4
463,,肯尼亚,,Kenya,-0.0236,37.9062,1,0,0,1
464,,韩国,,"Korea, South",35.9078,127.7669,7979,66,510,7403
465,,科威特,,Kuwait,29.3117,47.4818,80,0,5,75
466,,拉脱维亚,,Latvia,56.8796,24.6032,17,0,1,16
467,,黎巴嫩,,Lebanon,33.8547,35.8623,77,3,1,73
468,,列支敦士登,,Liechtenstein,47.14,9.55,1,0,0,1
469,,立陶宛,,Lithuania,55.1694,23.8813,6,0,0,6
470,,卢森堡,,Luxembourg,49.8153,6.1296,34,0,0,34
471,,马来西亚,,Malaysia,4.2105,101.9758,197,0,26,171
472,,马尔代夫,,Maldives,3.2028,73.2207,9,0,0,9
473,,马耳他,,Malta,35.9375,14.3754,12,0,1,11
474,马丁尼克,法国,Martinique,France,14.6415,-61.0242,3,0,0,3
475,,墨西哥,,Mexico,23.6345,-102.5528,12,0,4,8
476,,摩尔多瓦,,Moldova,47.4116,28.3699,6,0,0,6
477,,摩纳哥,,Monaco,43.7333,7.4167,2,0,0,2
478,,蒙古国,,Mongolia,46.8625,103.8467,1,0,0,1
479,,摩洛哥,,Morocco,31.7917,-7.0926,7,1,1,5
480,,尼泊尔,,Nepal,28.3949,84.124,1,0,1,0
481,本土,荷兰,,Netherlands,52.1326,5.2913,804,10,0,794
482,,新西兰,,New Zealand,-40.9006,174.886,5,0,0,5
483,,尼日利亚,,Nigeria,9.082,8.6753,2,0,0,2
484,,北马其顿,,North Macedonia,41.6086,21.7453,14,0,1,13
485,,挪威,,Norway,60.472,8.4689,996,0,1,995
486,,阿曼,,Oman,21.4735,55.9754,19,0,9,10
487,,巴基斯坦,,Pakistan,30.3753,69.3451,28,0,2,26
488,,巴拿马,,Panama,8.538,-80.7821,27,1,0,26
489,,巴拉圭,,Paraguay,-23.4425,-58.4438,6,0,0,6
490,,秘鲁,,Peru,-9.19,-75.0152,28,0,0,28
491,,菲律宾,,Philippines,12.8797,121.774,64,5,2,57
492,,波兰,,Poland,51.9194,19.1451,68,2,0,66
493,,葡萄牙,,Portugal,39.3999,-8.2245,112,0,1,111
494,,卡塔尔,,Qatar,25.3548,51.1839,320,0,0,320
495,,留尼汪,,Reunion,-21.1151,55.5364,5,0,0,5
496,,罗马尼亚,,Romania,45.9432,24.9668,89,0,7,82
497,,俄罗斯,,Russia,61.524,105.3188,45,0,3,42
498,,圣马力诺,,San Marino,43.9424,12.4578,80,5,0,75
499,,沙特,,Saudi Arabia,23.8859,45.0792,86,0,1,85
500,,塞内加尔,,Senegal,14.4974,-14.4524,10,0,1,9
501,,塞尔维亚,,Serbia,44.0165,21.0059,35,0,0,35
502,,新加坡,,Singapore,1.3521,103.8198,200,0,97,103
503,,斯洛伐克,,Slovakia,48.669,19.699,32,0,0,32
504,,斯洛文尼亚,,Slovenia,46.1512,14.9955,141,0,0,141
505,,南非,,South Africa,-30.5595,22.9375,24,0,0,24
506,,西班牙,,Spain,40.4637,-3.7492,5232,133,193,4906
507,,斯里兰卡,,Sri Lanka,7.8731,80.7718,6,0,1,5
508,,苏丹,,Sudan,12.8628,30.2176,1,1,0,0
509,,瑞典,,Sweden,60.1282,18.6435,814,1,1,812
510,,瑞士,,Switzerland,46.8182,8.2275,1139,11,4,1124
511,,泰国,,Thailand,15.87,100.9925,75,1,35,39
512,,多哥,,Togo,8.6195,0.8248,1,0,0,1
513,,突尼斯,,Tunisia,33.8869,9.5375,16,0,0,16
514,,土耳其,,Turkey,38.9637,35.2433,5,0,0,5
515,,乌克兰,,Ukraine,48.3794,31.1656,3,1,0,2
516,,阿联酋,,United Arab Emirates,23.4241,53.8478,85,0,17,68
517,本土,英国,Channel Islands,UK,49.372284,-2.364351,2,0,0,2
518,海峡群岛,英国,United Kingdom,UK,55.3781,-3.436,798,8,18,772
519,直布罗陀,英国,Gibraltar,UK,36.1408,-5.3536,1,0,1,0
520,钻石公主号撤离,美国,Diamond Princess,US,35.4437,139.638,46,0,0,46
521,亚拉巴马州,美国,Alabama,US,32.3182,-86.9023,5,0,0,5
522,至尊公主号撤离,美国,Grand Princess,US,37.64894,-122.665479,21,0,0,21
523,阿拉斯加州,美国,Alaska,US,61.370716,-152.404419,1,0,0,1
524,亚利桑那州,美国,Arizona,US,33.729759,-111.431221,9,0,1,8
525,阿肯色州,美国,Arkansas,US,34.969704,-92.373123,6,0,0,6
526,加利福尼亚州,美国,California,US,36.116203,-119.681564,282,4,6,272
527,科罗拉多州,美国,Colorado,US,39.059811,-105.311104,49,0,0,49
528,康涅狄格州,美国,Connecticut,US,41.597782,-72.755371,11,0,0,11
529,德拉瓦州,美国,Delaware,US,39.318523,-75.507141,4,0,0,4
530,华盛顿哥伦比亚特区,美国,District of Columbia,US,38.897438,-77.026817,10,0,0,10
531,佛罗里达州,美国,Florida,US,27.766279,-81.686783,50,2,0,48
532,乔治亚州,美国,Georgia,US,33.040619,-83.643074,42,1,0,41
533,夏威夷州,美国,Hawaii,US,21.094318,-157.498337,2,0,0,2
534,爱达荷州,美国,Idaho,US,44.240459,-114.478828,1,0,0,1
535,伊利诺伊州,美国,Illinois,US,40.349457,-88.986137,46,0,2,44
536,印第安纳州,美国,Indiana,US,39.849426,-86.258278,13,0,0,13
537,艾奥瓦州,美国,Iowa,US,42.011539,-93.210526,17,0,0,17
538,堪萨斯州,美国,Kansas,US,38.5266,-96.726486,5,1,0,4
539,肯塔基州,美国,Kentucky,US,37.66814,-84.670067,14,0,0,14
540,路易斯安那州,美国,Louisiana,US,31.169546,-91.867805,36,0,0,36
541,缅因州,美国,Maine,US,44.693947,-69.381927,1,0,0,1
542,马里兰州,美国,Maryland,US,39.063946,-76.802101,18,0,0,18
543,马萨诸塞州,美国,Massachusetts,US,42.230171,-71.530106,123,0,1,122
544,密歇根州,美国,Michigan,US,43.326618,-84.536095,16,0,0,16
545,明尼苏达在,美国,Minnesota,US,45.694454,-93.900192,14,0,0,14
546,密西西比州,美国,Mississippi,US,32.741646,-89.678696,1,0,0,1
547,密苏里州,美国,Missouri,US,38.456085,-92.288368,2,0,0,2
548,蒙大拿州,美国,Montana,US,46.921925,-110.454353,1,0,0,1
549,内布拉斯加州,美国,Nebraska,US,41.12537,-98.268082,13,0,0,13
550,内华达州,美国,Nevada,US,38.313515,-117.055374,17,0,0,17
551,新罕布夏州,美国,New Hampshire,US,43.452492,-71.563896,6,0,0,6
552,新泽西州,美国,New Jersey,US,40.298904,-74.521011,29,1,0,28
553,新墨西哥州,美国,New Mexico,US,34.840515,-106.248482,10,0,0,10
554,纽约州,美国,New York,US,42.165726,-74.948051,421,0,0,421
555,北卡罗来纳州,美国,North Carolina,US,35.630066,-79.806419,17,0,0,17
556,北达科他州,美国,North Dakota,US,47.528912,-99.784012,1,0,0,1
557,俄亥俄州,美国,Ohio,US,40.388783,-82.764915,13,0,0,13
558,俄克拉荷马州,美国,Oklahoma,US,35.565342,-96.928917,2,0,0,2
559,俄勒冈州,美国,Oregon,US,44.572021,-122.070938,30,0,0,30
560,宾夕法尼亚州,美国,Pennsylvania,US,40.590752,-77.209755,41,0,0,41
561,罗德岛州,美国,Rhode Island,US,41.680893,-71.51178,14,0,0,14
562,南卡罗来纳州,美国,South Carolina,US,33.856892,-80.945007,13,0,0,13
563,南达科他州,美国,South Dakota,US,44.299782,-99.438828,8,1,0,7
564,田纳西州,美国,Tennessee,US,35.747845,-86.692345,26,0,0,26
565,得克萨斯州,美国,Texas,US,31.054487,-97.563461,43,0,0,43
566,犹他州,美国,Utah,US,40.150032,-111.862434,9,0,0,9
567,维蒙特在,美国,Vermont,US,44.045876,-72.710686,2,0,0,2
568,弗吉尼亚州,美国,Virginia,US,37.769337,-78.169968,30,0,0,30
569,华盛顿州,美国,Washington,US,47.400902,-121.490494,568,37,1,530
570,西弗吉尼亚州,美国,West Virginia,US,38.491226,-80.954453,0,0,0,0
571,威斯康辛州,美国,Wisconsin,US,44.268543,-89.616508,19,0,1,18
572,怀俄明州,美国,Wyoming,US,42.755966,-107.30249,1,0,0,1
573,波多黎各,美国,Puerto Rico,US,18.19,-66.401,2,0,0,2
574,美属维京群岛,美国,US Virgin Islands,US,18.34,-64.909,1,0,0,1
575,,越南,,Vietnam,14.0583,108.2772,47,0,16,31
576,,圣卢西亚,,St Lucia,13.88,-60.96,1,0,0,1
577,,圣文森特和格林纳丁斯,,Saint Vincent and the Grenadines,13.229,-61.21,1,0,0,1
578,,特立尼达和多巴格,,Trinidad and Tobago,10.547,-61.34,2,0,0,2
579,库拉索,荷兰,Curacao,Netherlands,12.136,-68.94,1,0,0,1
580,,苏里南,,Suriname,4,-56.195,1,0,0,1
