city,province_cn,city_cn,case,death,cure,lat,lon,province
Seattle,美国,华盛顿州西雅图,1,0,0,47.582142,-122.255859,USA
Santa Clara,美国,加利福尼亚州圣克拉拉,2,0,0,37.370946,-121.967669,USA
San Benito,美国,加利福尼亚州圣本尼托,2,0,0,36.509685,-121.08186,USA
Los Angeles,美国,加利福尼亚州洛杉矶,1,0,0,33.906896,-118.270397,USA
Tempe,美国,亚利桑那州坦普,1,0,0,33.427564,-111.946564,USA
Chicago,美国,伊利诺伊州芝加哥,2,0,0,41.748,-87.6489,USA
Madison,美国,威斯康辛州麦迪逊,1,0,0,43.062382,-89.410129,USA
Boston,美国,马萨诸塞州波士顿,1,0,0,42.358544,-71.107678,USA
Orange,美国,加利福尼亚州奥兰治,1,0,0,33.64136,-117.76939,USA
Toronto,加拿大,安大略省多伦多,2,0,0,43.675818,-79.448919,Canada
London,加拿大,安大略省伦敦,1,0,0,42.995074,-81.254883,Canada
Nepal,尼泊尔,_,1,0,0,27.69,85.32,_
British Columbia,加拿大,不列颠哥伦比亚省,2,0,0,54.35,-123.66,Canada
Italy,意大利,_,3,0,0,43,12.62,_
Finland,芬兰,_,1,0,0,64.36,26.79,_
India,印度,_,3,0,0,21.56,78.2,_
UAE,阿联酋,_,7,0,0,23.69,54.43,_
Philippines,菲律宾,_,3,1,0,16.82048,121.421,_
Russia,俄罗斯,_,2,0,0,62.267923,57.3898,_
UK,英国,_,3,0,0,53.9,-1.64,_
Spain,西班牙,_,1,0,0,40.23,-3.7999,_
Sweden,瑞典,_,1,0,0,62.75,15.226,_
Belgium,比利时,_,1,0,0,50.814,4.42,_
