id,county,state,cn,,,,
48,Madison, WI,威斯康辛州麦迪逊,,,,
49,Manatee County, FL,佛罗里达州马那提县,,,,
50,Maricopa County, AZ,亚利桑那州马里科巴县,,,,
51,Marion County, IN,印第安纳州马里昂县,,,,
52,Marion County, OR,俄勒冈州马里昂县,,,,
53,Middlesex County, MA,马萨诸塞州中赛克斯县,,,,
54,Montgomery County, MD,马里兰州蒙哥马利县,,,,
55,Montgomery County, PA,宾夕法尼亚州蒙哥马利县,,,,
56,Montgomery County, TX,得克萨斯州蒙哥马利县,,,,
57,Nassau County, NY,纽约州拿骚县,,,,
58,New York County, NY,纽约州纽约城,,,,
59,Okaloosa County, FL,佛罗里达州奥卡卢萨县,,,,
60,Omaha, NE (From Diamond Princess),内布拉斯加州奥马哈,,,,
61,Orange County, CA,加利福尼亚州奥兰治县,,,,
62,Pierce County, WA,华盛顿州皮尔斯县,,,,
63,Pinal County, AZ,压力三那种派纳尔县,,,,
64,Placer County, CA,加利福尼亚州普拉瑟尔县,,,,
65,Plymouth County, MA,马萨诸塞州普利茅斯县,,,,
66,Polk County, GA,佐治亚州波尔克县,,,,
67,Providence County, RI,罗德岛州普罗维登斯,,,,
68,Ramsey County, MN,明尼苏达州明尼阿波利斯,,,,
69,Riverside County, CA,加利福尼亚州河滨,,,,
70,Rockingham County, NH,新罕布夏州罗金汉姆县,,,,
71,Rockland County, NY,纽约州洛克兰县,,,,
72,Sacramento County, CA,加利福尼亚州萨克拉门托,,,,
73,San Antonio, TX,得克萨斯州圣安东尼奥,,,,
74,San Benito, CA,加利福尼亚州圣本尼托,,,,
75,San Diego County, CA,加利福尼亚州圣迭戈,,,,
76,San Francisco County, CA,加利福尼亚州旧金山,,,,
77,San Mateo, CA,加利福尼亚州圣马迪奥,,,,
78,Santa Clara County, CA,加利福尼亚州圣克拉拉,,,,
79,Santa Rosa County, FL,佛罗里达州圣塔罗萨县,,,,
80,Sarasota, FL,佛罗里达州萨拉索塔,,,,
81,Saratoga County, NY,纽约州萨拉托加县,,,,
82,Shelby County, TN,田纳西州谢尔比县,,,,
83,Snohomish County, WA,华盛顿州斯诺霍米什县,,,,
84,Sonoma County, CA,加利福尼亚州索诺玛县,,,,
85,Spokane County, WA,华盛顿州斯波坎县,,,,
86,St. Louis County, MO,密苏里州圣路易斯,,,,
87,Suffolk County, MA,马萨诸塞州萨佛克县,,,,
88,Suffolk County, NY,纽约州萨佛克县,,,,
89,Summit County, CO,科罗拉多州萨米特县,,,,
90,Travis, CA (From Diamond Princess),加利福尼亚州特拉维斯,,,,
91,Tulsa County, OK,俄克拉荷马州塔尔萨,,,,
92,Ulster County, NY,纽约州乌尔斯特县,,,,
93,Umatilla, OR,俄勒冈州巫马提拉,,,,
94,,,Unassigned,Location,(From,Diamond,Princess)
95,Unassigned Location, VT,佛蒙特州未知地点,,,,
96,Unassigned Location, WA,华盛顿州未知地点,,,,
97,Unknown Location, MA,马萨诸塞州未知地点,,,,
98,Volusia County, FL,佛罗里达州沃卢西亚县,,,,
99,Wake County, NC,北卡罗来纳州威克县,,,,
100,Washington County, OR,俄勒冈州华盛顿县,,,,
101,Washington, D.C.,华盛顿特区,,,,
102,Washoe County, NV,内华达州沃休县,,,,
103,Wayne County, PA,宾夕法尼亚州韦恩县,,,,
104,Westchester County, NY,纽约州西切斯特县,,,,
105,Williamson County, TN,田纳西州威廉姆森县,,,,
106,Yolo County, CA,加利福尼亚州约洛县,,,,
107, Montreal, QC,魁北克省蒙特利尔,,,,
108,,,英属哥伦比亚省温哥华,British,Columbia,,
109,Calgary, Alberta,艾伯塔省卡尔加里,,,,
110,Edmonton, Alberta,艾伯塔省埃德蒙顿,,,,
111,London, ON,安大略省伦敦,,,,
112,Toronto, ON,安大略省多伦多,,,,
113,,,From,Diamond,Princess,,
114,,,新南威尔士,New,South,Wales,
115,,,北部地区,Northern,Territory,,
116,,,昆士兰,Queensland,,,
117,,,南澳大利亚,South,Australia,,
118,,,塔斯马尼亚,Tasmania,,,
119,,,维多利亚,Victoria,,,
120,,,西澳大利亚,Western,Australia,,
