cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
湘潭,0,36,0,36,0
湘西自治州,0,8,0,8,0
张家界,0,5,0,5,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
防城港,2,19,0,17,0
来宾,2,11,0,9,0
南宁,1,55,0,54,0
北海,1,44,0,42,1
柳州,1,24,0,23,0
桂林,0,32,0,32,0
河池,0,28,0,27,1
玉林,0,11,0,11,0
钦州,0,8,0,8,0
贵港,0,8,0,8,0
梧州,0,5,0,5,0
贺州,0,4,0,4,0
百色,0,3,0,3,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
长寿区,3,22,0,19,0
綦江区,1,23,0,22,0
大足区,1,14,0,13,0
荣昌区,1,9,0,8,0
万州区,0,118,0,114,4
江北区,0,28,0,28,0
云阳县,0,25,0,25,0
合川区,0,23,0,23,0
奉节县,0,22,0,22,0
九龙坡区,0,21,0,20,1
开州区,0,21,0,20,1
忠县,0,21,0,21,0
渝中区,0,20,0,20,0
垫江县,0,20,0,20,0
潼南区,0,18,0,18,0
渝北区,0,17,0,17,0
两江新区,0,17,0,17,0
南岸区,0,15,0,15,0
石柱县,0,15,0,15,0
巫溪县,0,14,0,14,0
铜梁区,0,10,0,10,0
丰都县,0,10,0,10,0
巫山县,0,10,0,10,0
沙坪坝区,0,9,0,9,0
璧山区,0,9,0,9,0
大渡口区,0,7,0,7,0
巴南区,0,6,0,6,0
涪陵区,0,5,0,5,0
永川区,0,5,0,5,0
江津区,0,4,0,4,0
梁平区,0,4,0,4,0
高新区,0,4,0,4,0
黔江区,0,2,0,2,0
城口县,0,2,0,2,0
彭水县,0,2,0,2,0
武隆区,0,1,0,1,0
秀山县,0,1,0,1,0
酉阳县,0,1,0,1,0
万盛经开区,0,1,0,1,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
贵阳,2,36,0,33,1
遵义,1,32,0,31,0
六盘水,1,10,0,8,1
毕节,0,23,0,23,0
黔南州,0,17,0,17,0
铜仁,0,10,0,10,0
黔东南州,0,10,0,10,0
安顺,0,4,0,4,0
黔西南州,0,4,0,4,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
银川,2,36,0,34,0
中卫,1,4,0,3,0
吴忠,0,28,0,28,0
固原,0,5,0,5,0
宁东,0,1,0,1,0
石嘴山,0,1,0,1,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
包头,2,11,0,9,0
呼和浩特,1,7,0,6,0
